68
Node Information:
Zero, 0, 535, 405
One, 1, 212, 79
Two, 2, 323, 210
Three, 3, 405, 477
Four, 4, 340, 314
Five, 5, 122, 117
Six, 6, 335, 555
Seven, 7, 480, 164
Eight, 8, 365, 257
Nine, 9, 425, 297
Ten, 10, 67, 515
Eleven, 11, 117, 357
Twelve, 12, 326, 533
Thirteen, 13, 321, 399
Fourteen, 14, 142, 119
Fifteen, 15, 385, 432
Sixteen, 16, 518, 83
Seventeen, 17, 178, 172
Eighteen, 18, 449, 215
Nineteen, 19, 194, 475
Twenty, 20, 118, 128
Twenty-One, 21, 252, 200
Twenty-Two, 22, 158, 288
Twenty-Three, 23, 398, 394
Twenty-Four, 24, 516, 568
Twenty-Five, 25, 210, 350
Twenty-Six, 26, 260, 321
Twenty-Seven, 27, 568, 273
Twenty-Eight, 28, 47, 342
Twenty-Nine, 29, 347, 113
Thirty, 30, 398, 355
Thirty-One, 31, 540, 487
Thirty-Two, 32, 317, 472
Thirty-Three, 33, 61, 335
Thirty-Four, 34, 202, 234
Thirty-Five, 35, 189, 90
Thirty-Six, 36, 372, 184
Thirty-Seven, 37, 324, 274
Thirty-Eight, 38, 259, 140
Thirty-Nine, 39, 470, 186
Forty, 40, 344, 405
Forty-One, 41, 459, 353
Forty-Two, 42, 566, 332
Forty-Three, 43, 83, 237
Forty-Four, 44, 324, 459
Forty-Five, 45, 217, 501
Forty-Six, 46, 246, 501
Forty-Seven, 47, 341, 301
Forty-Eight, 48, 271, 562
Forty-Nine, 49, 399, 156
Fifty, 50, 102, 346
Fifty-One, 51, 90, 146
Fifty-Two, 52, 79, 192
Fifty-Three, 53, 170, 465
Fifty-Four, 54, 440, 519
Fifty-Five, 55, 564, 209
Fifty-Six, 56, 250, 165
Fifty-Seven, 57, 296, 174
Fifty-Eight, 58, 70, 408
Fifty-Nine, 59, 155, 167
Sixty, 60, 275, 517
Sixty-One, 61, 281, 122
Sixty-Two, 62, 133, 130
Sixty-Three, 63, 329, 104
Sixty-Four, 64, 402, 105
Sixty-Five, 65, 498, 105
Sixty-Six, 66, 450, 331
Sixty-Seven, 67, 214, 334
Link Information:
0, 56, 14
0, 44, 66
0, 60, 34
1, 57, 46
1, 25, 15
2, 47, 22
2, 30, 13
3, 34, 20
3, 54, 24
3, 44, 43
3, 29, 46
4, 34, 3
5, 23, 2
6, 42, 26
7, 41, 5
7, 32, 36
7, 37, 56
8, 13, 33
8, 49, 54
8, 41, 42
8, 51, 62
9, 37, 19
9, 6, 32
9, 40, 2
10, 67, 8
10, 1, 23
10, 48, 44
10, 58, 25
11, 20, 59
11, 45, 37
11, 6, 38
12, 58, 39
13, 1, 24
13, 40, 2
13, 16, 22
14, 26, 27
15, 57, 61
15, 50, 24
15, 11, 26
16, 42, 28
17, 33, 31
17, 67, 34
18, 63, 50
18, 15, 1
18, 49, 13
19, 1, 62
19, 22, 17
19, 51, 52
19, 21, 10
20, 41, 41
20, 57, 24
20, 6, 21
20, 18, 44
21, 55, 5
21, 53, 4
22, 53, 39
23, 7, 51
23, 51, 7
23, 48, 31
24, 9, 64
24, 2, 61
24, 59, 31
25, 10, 19
25, 42, 36
26, 46, 41
27, 63, 56
28, 38, 39
28, 49, 30
28, 20, 13
29, 12, 63
29, 17, 40
29, 58, 57
30, 57, 64
31, 41, 44
31, 17, 43
32, 64, 49
32, 34, 3
32, 54, 42
33, 1, 66
33, 25, 46
34, 61, 50
35, 23, 54
35, 55, 14
35, 3, 14
35, 32, 54
36, 45, 59
36, 13, 56
36, 38, 38
36, 47, 23
37, 24, 12
38, 21, 14
38, 49, 27
38, 44, 8
39, 55, 23
40, 46, 8
41, 65, 35
42, 13, 17
42, 45, 18
43, 31, 51
43, 49, 11
43, 66, 47
44, 48, 37
45, 9, 40
45, 51, 16
45, 40, 43
45, 46, 4
46, 33, 61
46, 49, 15
46, 14, 13
46, 47, 45
47, 4, 33
47, 18, 31
47, 48, 13
48, 4, 13
48, 38, 57
48, 16, 7
49, 52, 27
50, 43, 17
50, 21, 41
50, 2, 55
51, 11, 47
52, 2, 20
52, 9, 11
52, 28, 18
53, 20, 51
53, 40, 18
53, 43, 23
54, 59, 14
54, 28, 56
54, 67, 61
55, 3, 65
55, 12, 66
55, 8, 15
56, 21, 53
56, 16, 10
56, 25, 8
57, 12, 36
58, 57, 12
59, 53, 28
59, 66, 58
60, 12, 27
60, 33, 51
60, 5, 15
60, 10, 18
61, 53, 54
61, 43, 51
61, 33, 59
62, 44, 15
62, 11, 21
62, 9, 67
62, 19, 36
63, 43, 58
63, 4, 9
64, 22, 46
64, 47, 10
65, 14, 65
65, 13, 15
65, 55, 17
66, 50, 13
66, 56, 31
66, 16, 37
67, 6, 38
67, 52, 22
